date,positive slack,negative slack
"2017-01-02",,0.216423735783678
"2017-01-03",,0.0404847361297129
"2017-01-04",,0.013399898359669
"2017-01-05",,0.134969534135667
"2017-01-06",0.143333233879552,
"2017-01-09",0.313824916114225,
"2017-01-10",0.433430345672061,
"2017-01-12",0.00938550407645522,
"2017-01-13",0.505838281156812,
"2017-01-16",0.505838281156812,
"2017-01-17",0.0234594550468259,
"2017-01-18",0.22146072157048,
"2017-01-19",,0.138312062834906
"2017-01-20",,0.264482281525986
"2017-01-23",,0.388373931579835
"2017-01-24",,0.290940296095059
"2017-01-25",,0.174765121726672
"2017-01-26",,0.176744649027732
"2017-01-27",0.107834777132155,
"2017-01-30",0.35060747045722,
"2017-01-31",0.0435126082344723,
