Time Intervals,photovoltaic,wind,Demand
tX0178,445.0,18194.0,65946.0
tX0179,1082.0,18158.0,65953.0
tX0180,1737.0,17969.0,66511.0
tX0181,2060.0,17313.0,65669.0
tX0182,1701.0,16724.0,64676.0
tX0183,1037.0,16644.0,63879.0
tX0184,413.0,16029.0,63921.0
tX0185,57.0,16797.0,64399.0
tX0186,0,17086.0,65906.0
tX0187,0,18392.0,65723.0
tX0188,0,20013.0,64036.0
tX0189,0,21481.0,61114.0
tX0190,0,22674.0,58312.0
tX0191,0,22798.0,57287.0
tX0192,0,22918.0,53880.0
tX0193,0,22493.0,51464.0
tX0194,0,22293.0,50224.0
tX0195,0,22667.0,48765.0
tX0196,0,23854.0,48800.0
tX0197,0,25176.0,49779.0
tX0198,0,26534.0,52345.0
tX0199,0,27529.0,57950.0
tX0200,0,28256.0,63271.0
tX0201,52.0,29037.0,67718.0
tX0202,420.0,29788.0,68516.0
tX0203,972.0,29866.0,68693.0
tX0204,1397.0,29180.0,68216.0
tX0205,1472.0,29467.0,68253.0
tX0206,1233.0,29746.0,67452.0
tX0207,869.0,30048.0,65878.0
tX0208,349.0,30221.0,65424.0
tX0209,43.0,30286.0,65708.0
tX0210,0,30018.0,69259.0
tX0211,0,28952.0,68070.0
tX0212,0,27715.0,64639.0
tX0213,0,26195.0,61547.0
tX0214,0,24024.0,59385.0
tX0215,0,21960.0,56093.0
tX0216,0,21081.0,52122.0
tX0217,0,20050.0,48252.0
tX0218,0,20224.0,45822.0
tX0219,0,20574.0,43749.0
tX0220,0,21959.0,43318.0
tX0221,0,23278.0,43257.0
tX0222,0,24361.0,44124.0
tX0223,0,26227.0,45226.0
tX0224,0,27409.0,49437.0
tX0225,53.0,28351.0,53615.0
tX0226,548.0,28658.0,55658.0
tX0227,2016.0,29050.0,57364.0
tX0228,4229.0,29566.0,59478.0
tX0229,5276.0,29488.0,59609.0
tX0230,4539.0,29096.0,58233.0
tX0231,2757.0,28933.0,56549.0
tX0232,960.0,28551.0,55141.0
tX0233,84.0,28593.0,56023.0
tX0234,0,28424.0,59826.0
tX0235,0,28027.0,60016.0
tX0236,0,27645.0,58611.0
tX0237,0,27103.0,54983.0
tX0238,0,26449.0,53490.0
tX0239,0,25387.0,52840.0
tX0240,0,24820.0,50440.0
tX0241,0,24189.0,46824.0
tX0242,0,23988.0,44111.0
tX0243,0,23330.0,42367.0
tX0244,0,23182.0,41828.0
tX0245,0,23443.0,41674.0
tX0246,0,23672.0,41259.0
tX0247,0,24719.0,40605.0
tX0248,0,25356.0,41598.0
tX0249,121.0,26416.0,44319.0
